campaign_id,collection_name,rail_name,rail_position,pinned,collection_rank,product_url,product_name,brand,price,currency,image_url,stock_status,observed_at,notes
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,1,https://phlur.com/products/missing-person-50ml,Missing Person Eau de Parfum (50ml),Phlur,99,USD,,unknown,2026-06-06,[signature] Cult skin-musk floral; the accessible-niche sign
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,1,yes,2,https://dedcool.com/products/xtra-milk-fragrance,Xtra Milk Fragrance (1.7oz),Dedcool,90,USD,,in_stock,2026-06-06,[skin_scent] The viral 'you but better' clean musk; the gend
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,2,yes,3,https://dedcool.com/products/xtra-milk-travel,Xtra Milk Travel Spray (15ml),Dedcool,30,USD,,in_stock,2026-06-06,[travel_discovery] Travel size of the skin-scent pillar; und
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,3,yes,4,https://www.ellisbrooklyn.com/products/salt-eau-de-parfum,Salt Eau de Parfum (50ml),Ellis Brooklyn,115,USD,,in_stock,2026-06-06,[fresh_day] Aquatic salt-musk; Allure Best of Beauty; the fr
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,5,https://www.ellisbrooklyn.com/products/sun-fruit-eau-de-parfum,Sun Fruit Eau de Parfum (50ml),Ellis Brooklyn,115,USD,,unknown,2026-06-06,[fresh_day] Fig/coconut/jasmine fruity-floral; the bright da
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,4,yes,6,https://soldejaneiro.com/products/cheirosa-62-hair-body-fragrance-mist,Cheirosa 62 Perfume Mist (90ml),Sol de Janeiro,26,USD,,in_stock,2026-06-07,[fresh_day] Pistachio/salted-caramel gourmand mist; the unde
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,5,yes,7,https://soldejaneiro.com/products/cheirosa-62-hair-body-fragrance-mist,Cheirosa 62 Perfume Mist (240ml),Sol de Janeiro,39,USD,,in_stock,2026-06-07,[skin_scent] Jumbo of the cult gourmand mist; the cost-effec
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,8,https://skylar.com/products/capri-summer,Capri Summer Eau de Parfum (50ml),Skylar,96,USD,,sold_out,2026-07-19,[fresh_day] Hypoallergenic citrus EDP; fresh-day clean slot.
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,9,https://phlur.com/products/vanilla-skin-perfume,Vanilla Skin,Phlur,99,USD,,unknown,2026-06-06,[skin_scent] Woody gourmand skin scent; the clean-vanilla la
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,10,https://phlur.com/products/fragrance-discovery-set,Discovery Set,Phlur,39,USD,,unknown,2026-06-06,[travel_discovery] 8x2mL across the Phlur range + $20 credit
