campaign_id,collection_name,rail_name,rail_position,pinned,collection_rank,product_url,product_name,brand,price,currency,image_url,stock_status,observed_at,notes
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,1,yes,1,https://rixolondon.com/en-us/products/milly-bohemia-leopard,Milly Leopard Coat,Rixo,795,USD,,in_stock,2026-08-07,Full-length leopard in brown — the one print in a set of solids.
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,2,yes,2,https://aligne.co/products/anouk-double-faced-jacket-grey,Anouk Wool Blend Jacket,Aligne,219,GBP,,in_stock,2026-08-07,Grey marl wool blend — the set's lowest price.
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,3,yes,3,https://www.farfetch.com/shopping/women/woolrich/items.aspx,Double-Breasted Trench,Woolrich,414,USD,,low_stock,2026-08-07,A double-breasted cotton trench under $450 — the set's entry classic.
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,4,yes,4,https://roheframes.com/products/pankou-closure-jacket-black,Pankou Closure Jacket,Rohe,675,EUR,,in_stock,2026-08-07,"Knotted closures, collarless cut — Rohe's version of the fall jacket."
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,5,yes,5,https://www.farfetch.com/shopping/women/woolrich/items.aspx,Callery Belted Coat,Woolrich,708,USD,,low_stock,2026-08-07,"Belted virgin wool, unstructured — lighter than a winter coat. [size S only at verification]"
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,6,yes,6,https://www.farfetch.com/shopping/women/toteme/trench-raincoat-1/items.aspx,Washed Cotton Trench,Toteme,1368,USD,,in_stock,2026-08-07,"Washed cotton, cut long and unlined — Toteme's version of the classic."
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,7,yes,7,https://www.farfetch.com/shopping/women/polo-ralph-lauren/trench-raincoat-1/items.aspx,Double-Breasted Belted Trench,Polo Ralph Lauren,861,USD,,in_stock,2026-08-07,"Cotton gabardine, storm flap, gun patch — the textbook spec."
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,8,yes,8,https://www.farfetch.com/shopping/women/nour-hammour/items.aspx,Quinn Double-Breasted Leather Coat,Nour Hammour,1105,USD,,in_stock,2026-08-07,Paris-made leather in a long cut — the '90s revival.
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,9,yes,9,https://www.farfetch.com/shopping/women/ducie-corrin-suede-trench-coat-item-30112837.aspx,Corrin Suede Trench,DUCIE,1476,USD,,in_stock,2026-08-07,A full suede trench: this fall's texture on its most classic silhouette.
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,10,yes,10,https://www.farfetch.com/shopping/women/toteme/trench-raincoat-1/items.aspx,Drop-Shoulder Trench,Toteme,1580,USD,,in_stock,2026-08-07,"Drop shoulders and a fuller cut — the trench, relaxed."
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,11,yes,11,https://www.farfetch.com/shopping/women/burberry/trench-raincoat-1/items.aspx,Fitzrovia Short Gabardine Trench,Burberry,2695,USD,,in_stock,2026-08-07,Gabardine cut short — for the wardrobe that already owns the long one.
almost-fall-2026,First Coats of Fall,Coats you can't wear yet,12,yes,12,https://www.farfetch.com/shopping/women/burberry/trench-raincoat-1/items.aspx,Ellingham Car Coat,Burberry,3150,USD,,in_stock,2026-08-07,"Cotton gabardine car coat, made in England — the anchor of the set."
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,1,yes,1,https://www.sezane.com/us-en/product/will-jacket/camel-suede,Will Jacket,Sézane,315,USD,,in_stock,2026-08-07,"Camel suede, unlined — the jacket for the first cool evening."
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,2,yes,2,https://us.aemery.com/products/the-jalen-sandal-liquorice-suede,The Jalen Sandal,A.Emery,250,USD,,in_stock,2026-08-07,Walnut suede between the toes — fall's texture at sandal weight.
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,3,yes,3,https://faithfullthebrand.com/products/marisol-top-chocolate-lace,Marisol Top,Faithfull the Brand,190,USD,,in_stock,2026-08-07,Chocolate lace — the season's colour in summer's fabric.
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,4,yes,4,https://shop.mango.com/us/en/p/women/jeans/balloon/mid-rise-barrel-jeans/17044142/32/00,Mid-Rise Barrel Jeans,Mango,53.99,USD,,low_stock,2026-08-07,"Chocolate-brown denim in a barrel cut, $54."
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,5,yes,5,https://www.adidas.com/us/gazelle-indoor-shoes/JI2060.html,Gazelle Indoor Shoes,Adidas,120,USD,,in_stock,2026-08-07,The suede sneaker that never left — black with a gum sole for September.
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,6,yes,6,https://www.ganni.com/us/broderie-anglaise-top-J1710.html,Broderie Anglaise Top,Ganni,187.5,USD,,low_stock,2026-08-07,"Cotton broderie anglaise in light blue — wear it open now, layer it later."
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,7,yes,7,https://www.cos.com/en-us/women/womenswear/jeans/product/raw-denim-cropped-barrel-leg-trousers-indigo-1331071001,Raw Denim Cropped Barrel-Leg Trousers,COS,129.0,USD,,low_stock,2026-08-07,"Raw indigo, cropped barrel — dark denim with no season attached."
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,8,yes,8,https://us.aemery.com/products/the-jalen-sandal-liquorice-suede,The Jalen Sandal (Liquorice Suede),A.Emery,250,USD,,in_stock,2026-08-07,Black suede at sandal weight — the Jalen in its darker colorway.
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,9,yes,9,https://www.sezane.com/us-en/collection/jackets,Suede Harvey Teddy,Sézane,490,USD,,in_stock,2026-08-07,"Suede in teddy form, $490 — the softest version of the season's texture."
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,10,yes,10,https://agolde.com/products/90s-pinch-waist-high-rise-straight-pendulum,90's Pinch Waist High Rise Straight,Agolde,238,USD,,in_stock,2026-08-07,"High rise, pinched waist, dark Pendulum wash — September jeans, wearable now."
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,11,yes,11,https://www.ganni.com/us/dress-in-white-broderie-anglaise-A1030520.html,Dress in White Broderie Anglaise,Ganni,545,USD,,in_stock,2026-08-07,White broderie now; add the belt and boots in October.
almost-fall-2026,"Suede, Sheer & Denim",Fall you can wear today,12,yes,12,https://khaite.com/collections/denim/products/callum-jean-in-dumas,Callum Jean,Khaite,680.0,USD,,in_stock,2026-08-07,The $680 jean — Khaite's loose straight in a wash called Dumas.
almost-fall-2026,Fall Accents,Add one thing,1,yes,1,https://kallmeyer.nyc/products/dkpf26kn1119-yara-shrug-cotton-knit-black,Yara Shrug in Cotton Knit,Kallmeyer,680,USD,,in_stock,2026-08-07,A cropped wool shrug — the half-cardigan that changes a tank outfit.
almost-fall-2026,Fall Accents,Add one thing,2,yes,2,https://francesvalentine.com,Turtle Pin,Frances Valentine,90,USD,,in_stock,2026-08-07,A $90 turtle that reads heirloom on a linen shirt.
almost-fall-2026,Fall Accents,Add one thing,3,yes,3,https://www.sezane.com/us-en/product/gaspard-cardigan/black,Gaspard Cardigan,Sezane,120,USD,,in_stock,2026-08-07,A cardigan that works before cardigan weather.
almost-fall-2026,Fall Accents,Add one thing,4,yes,4,https://www.cos.com/en-us/women/womenswear/knitwear/cardigans/product/knitted-linen-cardigan-burgundy-1315013001,Knitted Linen Cardigan,COS,139,USD,,in_stock,2026-07-18,Knitted linen — a cardigan that works before cardigan weather.
almost-fall-2026,Fall Accents,Add one thing,5,yes,5,https://www.macys.com,Gold-Tone Colored Crystal Orchid Pin,Anne Klein,32,USD,,in_stock,2026-08-07,A crystal orchid at $32 — the cheapest way into the brooch revival.
almost-fall-2026,Fall Accents,Add one thing,6,yes,6,https://shop.mango.com/us/en/c/women/belts/leather/98abbc2e,100% Cowhide Leather Belt,Mango,45.99,USD,,in_stock,2026-08-07,"Chocolate cowhide, $46 — one dark belt to shift a summer outfit."
almost-fall-2026,Fall Accents,Add one thing,7,yes,7,https://www.cos.com/en-us/women/accessories/hatsscarvesgloves/scarves/product/embroidered-silk-scarf-navy-striped-1332775001,Embroidered Silk Scarf,COS,69.0,USD,,in_stock,2026-07-27,Navy striped silk — the scarf that dresses a plain neckline.
almost-fall-2026,Fall Accents,Add one thing,8,yes,8,https://www.macys.com,14K Gold-tone Carnelian Cameo Oval Pin,2028,68,USD,,in_stock,2026-08-07,"A carnelian cameo in gold tone — vintage grammar, current stock."
almost-fall-2026,Fall Accents,Add one thing,9,yes,9,https://shop.mango.com/us/en/p/women/scarves-and-shawls/neckscarves/satin-check-print-scarf/37091481/05/00,Satin check-print scarf,Mango,17.99,USD,,in_stock,2026-07-27,"Satin check, $18 — tie it anywhere the outfit needs autumn."
almost-fall-2026,Fall Accents,Add one thing,10,yes,10,https://www.cos.com/en-us/women/womenswear/suitsandtailoring/waistcoats/product/tailored-waistcoat-brown-1326531001,Tailored Vest,COS,90.3,USD,,in_stock,2026-07-19,The third piece that isn't a jacket.
almost-fall-2026,Fall Accents,Add one thing,11,yes,11,https://shop.mango.com/us/en/c/women/belts/leather/98abbc2e,Buckle Leather Belt,Mango,49.99,USD,,in_stock,2026-08-07,"Plain black leather, $50 — the belt that re-cuts a summer dress."
almost-fall-2026,Fall Accents,Add one thing,12,yes,12,https://kith.com/products/r25a027-l010,Wing Bag Charm,Sandy Liang,98.0,USD,,in_stock,2026-08-07,One charm to make the summer bag read fall.
