campaign_id,collection_name,rail_name,collection_rank,pinned,product_url,product_name,brand,price,currency,image_url,notes
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,1,yes,,Missing Person Eau de Parfum (50ml),Phlur,99,USD,,[signature] Cult skin-musk floral; the accessible-niche sign
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,2,yes,,Xtra Milk Fragrance (1.7oz),Dedcool,90,USD,,[skin_scent] The viral 'you but better' clean musk; the gend
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,3,yes,,Xtra Milk Travel Spray (15ml),Dedcool,30,USD,,[travel_discovery] Travel size of the skin-scent pillar; und
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,4,yes,,Salt Eau de Parfum (50ml),Ellis Brooklyn,115,USD,,[fresh_day] Aquatic salt-musk; Allure Best of Beauty; the fr
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,5,yes,,Sun Fruit Eau de Parfum (50ml),Ellis Brooklyn,115,USD,,[fresh_day] Fig/coconut/jasmine fruity-floral; the bright da
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,6,yes,,Cheirosa 62 Perfume Mist (90ml),Sol de Janeiro,26,USD,,[fresh_day] Pistachio/salted-caramel gourmand mist; the unde
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,7,yes,,Cheirosa 62 Perfume Mist (240ml),Sol de Janeiro,39,USD,,[skin_scent] Jumbo of the cult gourmand mist; the cost-effec
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,8,yes,,Capri Summer Eau de Parfum (50ml),Skylar,96,USD,,[fresh_day] Hypoallergenic citrus EDP; fresh-day clean slot.
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,9,yes,,Vanilla Skin,Phlur,99,USD,,[skin_scent] Woody gourmand skin scent; the clean-vanilla la
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,10,yes,,Discovery Set,Phlur,39,USD,,[travel_discovery] 8x2mL across the Phlur range + $20 credit
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,11,yes,,MEMOIR Fragrance Discovery Set,Ellis Brooklyn,39,USD,,[travel_discovery] 9x1.5mL of the full EB range; under-$40 t
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,12,yes,,Vanilla Era,Boy Smells,78,USD,,[night] Vanilla absolute + black amber + espresso; the warm 
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,13,no,,I Don't Know What,D.S. & Durga,225,USD,,[skin_scent] Iso E Super skin-amplifier; doubles as a layeri
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,14,no,,Big Sur Eucalyptus,D.S. & Durga,225,USD,,[fresh_day] Eucalyptus/cardamom/cypress coastal fresh; the a
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,15,no,,I Don't Know What Pocket Spray,D.S. & Durga,80,USD,,[travel_discovery] Pocket spray of the IDKW enhancer; the la
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,16,no,,REPLICA By the Fireplace,Maison Margiela,170,USD,,[night] Chestnut/vanilla/clove cozy fireside night scent; bo
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,17,no,,REPLICA By the Fireplace,Maison Margiela,115,USD,,[night] 30mL of the cozy night scent; 30mL price inferred (1
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,18,no,,You Eau de Parfum,Glossier,82,USD,,[signature] Ambrette/iris/musk chameleon skin scent; the acc
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,19,no,,VANILLA | 28,Kayali,105,USD,,[night] Vanilla/musk/amber; the #1 PerfumeTok vanilla layeri
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,20,no,,VANILLA | 28,Kayali,150,USD,,[night] Full-size 100mL; the layering staple worn over Gloss
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,21,no,,Sweet Ash,Snif,68,USD,,"[signature] Juniper/fir/tonka/vanilla; Snif's #1 bestseller,"
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,22,no,,Sweet Ash Mini,Snif,26,USD,,[travel_discovery] Mini of Sweet Ash w/ return option; under
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,23,no,,Queens & Monsters,Henry Rose,120,USD,,"[occasion] Jasmine/coco-musk/sandalwood; EWG-Verified, Allur"
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,24,no,,Windows Down,Henry Rose,120,USD,,[fresh_day] Grapefruit/bergamot/Earl-Grey bright citrus; cle
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,25,no,,Queens & Monsters Travel Spray,Henry Rose,35,USD,,[travel_discovery] 8mL travel of the occasion hero; under-$4
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,26,no,,Santal 33,Le Labo,214,USD,,[signature] Cardamom/sandalwood/leather; the original 'cool-
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,27,no,,Mojave Ghost,Byredo,225,USD,,[occasion] Ambrette/magnolia/sandalwood; Byredo's diffusive 
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,28,no,,Gypsy Water,Byredo,225,USD,,[night] Bergamot/incense/pine/vanilla; the iconic Byredo dus
seasonal-turn-2026,Perfume Wardrobe,The Scent You Keep,29,no,,Baccarat Rouge 540,Maison Francis Kurkdjian,360,USD,,[occasion] Saffron/amberwood; the #1 'smell expensive' refer
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,1,yes,,Cyme Raffia,Polène,540,USD,,Handwoven Madagascar raffia tote; THE summer-2026 it-bag ear
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,2,yes,,Cyme Mini Raffia,Polène,450,USD,,Mini top-handle/crossbody of the icon Cyme in raffia; the wa
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,3,yes,,Cyme Raffia,Polène,540,USD,,Darker raffia colorway of the Cyme for versatility; raffia i
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,4,yes,,Tommy Beaded Bag,Staud,295,USD,,Hand-beaded shoulder bag — TikTok's 'bag of the summer'; thi
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,5,yes,,Tommy Beaded Bag,Staud,350,USD,,Limited-edition summer print of the viral hand-beaded Tommy;
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,6,yes,,Moon Raffia Bag,Staud,350,USD,,100% raffia crescent/moon silhouette bridging tote+shoulder;
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,7,yes,,Pearl Bag,Cult Gaia,498,USD,,"Sculptural pearl-handle clutch, a Cult Gaia 'ICON' SKU; the "
